"url","New column"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","It's sad with the candidacy of Donald Trump that trolling has been an accepted part of culture these days.Let's change this, vote #ImWithHer"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","We might not be able to eliminate gun violence - But we CAN reduce it and we have to #StrongerTogether #ImWithHer #HillarysArmypic.twitter.com/HoAT5oGJCp"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","This is great!!! I can't sop cluckin about it! Give'r a listen. #shimmy #debates #NeverTrump #earworm #ImWithHer #Hillary #HillaryShimmyhttps://twitter.com/BoingBoing/status/781265227992227840 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","Hah the jokes on Trump. He didn't start sniffling until after he shook Hillary's pneumonia afflicted hand. #ImWithHer pies are good. https://twitter.com/BruceBourgoine/status/781275972498759680 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","@machadooficial THANK YOU for speaking out! Your voice and experience has helped other women! #ImWithHer"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","#JohnsonWeld2016 would cut Planned Parenthood by 20% in 1st 100 days! A protest vote is a vote for #Trump #ImWithHer #StrongerTogetherpic.twitter.com/CVcaD10pVu"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","Great piece by a Bernie Bro embracing @HillaryClinton http://www.huffingtonpost.com/isaac-saul/i-wrote-that-i-despised-hillary-clinton-i-take-it-back_b_12220124.html …? #imwithher #FeelTheBern #NeverTrump"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","Johnson snurfles,Trump sniffles, but Hillary shimmies, so #ImWithHer"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","President Obama is correct -imo wasted vote. Good bye !!!! #GaryJohnson #townhall #Msnbc #ImWithHer #HillaryClinton #Hardball pic.twitter.com/7C7WWHgBLF"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","Gov. Weld looks and speaks like he's Presidential...Johnson is a buffoon!!! #ImWithHer"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","Best Analysis of the #FirstDebate by the #maestro @LionelNation #MAGA #ImWithHer @realDonaldTrump & @HillaryClintonhttps://www.youtube.com/watch?v=N56qbs4dFb8 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","Under Johnson, 20 percent cut in Planned Parenthood. #WomensRights #WomensHealth #ImWithHer"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","Trumpsters are nuts. It's her job, idiot! Trump supports & encourages this behavior. #ImWithHer https://twitter.com/donlemon/status/781277588220153856 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","Don't go without voting early or absentee! #iRegistered #ImWithHer https://twitter.com/washingtonian/status/781278317412487168 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","Yes!. This. #HumanRights. #ImWithHer. https://twitter.com/HRC/status/781253098136334336 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","Only reason Gary ""what is #Aleppo"" Johnson hasn't been laughed out of race is b/c Trump has set the bar so low. #ImWithHer"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","This is pathetic #GaryJohnson Don't waste your vote on 3rd candidates. #ImWithHer https://twitter.com/JoyAnnReid/status/781277033708027904 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","#wcw #imwithher hillaryclinton @ Howard's Club H https://www.instagram.com/p/BK53fhPgC2o/"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","#ImWithHer I wouldn't brag too much about your POTUS endorsements.. #ClintonContamination #hardball #EndlessWarpic.twitter.com/Hx19z82yuG"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","Ignore that tweet. #ImWithHer"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","Brownfractals: immigrant4trump Can't say the same about Ms #ImWithHer over there. . .and she pays the women less than the men. #factcheck #…"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","I hope people read this! It's important.. #ImWithHer #NeverTrump #VoteBluehttp://fb.me/5XKLDxVgR"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","Great to have @UofNH student ask about PP funding at @hardball college tour- too bad @GovGaryJohnson would cut by 20% #nhpolitics #imwithher"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","Feelin it! @pinkbiscuit #FeelTheBern RT @Morty_Fied: #ImWithHer + #FeelTheBern = 2 old white asshats pandering for… http://buff.ly/2dAPfk5"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","The problem with #CrookedHillary appeal: It's all 'me, me, me' #Narcissist #Sociopath #ImWithHer NOT #MAGAhttp://nyp.st/2cM3MKV"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","This exactly. #ImWithHer @mharrisperry's photo https://instagram.com/p/BK6Tex2j6Iz/"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","@DigFolkProj @lynneSmcneill #ImWithHer love this! https://twitter.com/BRios82/status/780937137793306624 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","Another reason @HillaryClinton is with us, public educators. She believes in retirement security & protecting public pensions. #ImWithHer https://twitter.com/protectpensions/status/780849936510361601 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","And here's what Trump thinks of one of the most successful women in media. He's a pig. From 2014 #ImWithHer #NeverTrumphttps://twitter.com/realDonaldTrump/status/458031670164459521 …"
