"url","tweet"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","Hillarys foriegn policy. #Demexit #FeelTheBern #ImWithHer #OpJill https://twitter.com/eshaLegal/status/789252241161068544 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","Awesome meme from the Clinton campaign summing up last night's debate. #ImWithHer pic.twitter.com/7Psfvaz3HV"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","“Nasty woman"" becomes the feminist rallying cry Hillary Clinton was waiting for - Vox http://www.vox.com/policy-and-politics/2016/10/20/13341416/nasty-woman-feminist-rallying-cry-hillary-clinton?utm_campaign=vox&utm_content=entry&utm_medium=social&utm_source=facebook … #NastyWoman #ImWithHer"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","Sick of weak white men like this one. They are angry because a black man has been a fantastic role model & Pres. They are done. #ImWithHer pic.twitter.com/USU3jsLmmE"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","#ImWithHer 4 Prison! @CNNPolitics @TheDemocrats @realDonaldTrump @GOP LOVE @wikileaks We get TRUTH! ""Basket of Deplorables"" is our media!https://twitter.com/kennaclaire87/status/789252372006445056 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","Mitch McConnell Wakes Up To NASTY Surprise, KENTUCKY Is Turning BLUE (DETAILS) http://bipartisanreport.com/2016/10/19/mitch-mcconnell-wakes-up-to-nasty-surprise-kentucky-is-turning-blue-details/ … #BBN #uniteblue #ImWithher #p2"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","Another #sexualAssault victim of #Trump.speaks out & NO I'm not going to say *alleged* #misogynists get over yourselves #ImWithHer https://twitter.com/CBSNews/status/789133353324773376 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","Steven just called Paige ""such a nasty mare"" #imwithher"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","I don't agree with her on everything, but I know @HillaryClinton truly wants a better world. So do I. #ImWithHer https://counterclickbait.com/politics/fine-with-her/ …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","The hypocrisy women heard around the world: #ImWithHer #StrongerTogether #ClintonKaine2016 #NeverTrump #LGBT... http://fb.me/vbLaZXFa"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","Good to be back at the Globe talking about women in politics with @SWSG_Tweets #SLN #ImWithHer"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","#VOTEBLUE #IMWITHHER - The third debate: Donald Trump suggests the election will be rigged http://econ.st/2dpsKlx via @TheEconomist"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","It's hard to have a well-functioning democracy when 30%, 35% of the public feel apart from it-#NeeraTanden #BuzzFeedBrews #ImWithHer – at Newseum"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","Hillary has proven in ALL 3 debates that she has the intelligence/temperament/experience to be President! #ImWithHer https://twitter.com/jumblyman/status/789010905665200128 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","YES. She. Does! #ImWithHer https://twitter.com/hillaryclinton/status/789218324911620096 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","The future is female! (Yeah, so vote.) #imwithher #foundshirtbyjen @ Gold Cash Gold Detroit https://www.instagram.com/p/BLzcuVFjBw_/"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","I will go to my grave having never voted for a Clinton. Her wars should be fought by #imwithher crowd, not the poor and minorities https://twitter.com/HillaryClinton/status/789245408837074944 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","Rigging the Election - Video II: Mass Voter Fraud https://youtu.be/hDc8PVCvfKs via @YouTube take a look all you #ImWithHer-ers"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","Trump lives in a ""stupid country."" Thanks civil servants, elected officials, military volunteers, teachers, American people. #p2 #ImWithHer"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","Later that night, with a burning new ad, Hillary tells Donald to stop whining and go to his room http://www.dailykos.com/story/2016/10/20/1584835/-In-one-minute-Hillary-Clinton-explains-to-Donald-Trump-and-the-world-why-she-s-got-this … #ImWithHer"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","Testimony underlines McCrory's role in #CoalAsh health warnings http://bit.ly/2ez1xtU via N&O #ImWithHer #UniteBlue #VoteBlue pic.twitter.com/0oo14C48Hi"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","You can watch the Al Smith Dinner Smackdown Live Stream here: http://ln.is/eOhpC #ImWithHer... by #ursaluna via @c0nvey"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","close friend, coat shopping, picked up nice coat in Macy's today, saw ivanka trump label,returned it to rack #imwithher @realDonaldTrump"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","All ready for #AlSmithDinner #ImWithHer #ClintonKaine2016pic.twitter.com/PiBSEAFdI4"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","@FlipItDem We NEED more OUTSTANDING WOMEN like PA'S Katie McGinty and @CatherineForNV ! #VoteBlueDownTheTicket #ImWithHer"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","Retweeted Jill Biden (@JillBidenVeep): Joe would like you all to know he identifies as a nasty woman and we are both with her. #ImWithHer"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","This #NastyWoman just voted! #ByeOrangeFelicia #ImWithHer #NastyWomenWillStopTrumppic.twitter.com/4HPJshZFNt"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","Thank you to millions of immigrants, documented or not, paying our social security, taxes, and contributing to our economy. #ImWithHer #p2"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","#NeverTrump #ImwithHer #HillaryClinton4president you couldn't even stop HRC. How do intend to stop terrorism?https://twitter.com/realDonaldTrump/status/789132223479947264 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","Snap, @HillaryClinton, the last husk of Cheeto has been swept up off the floor! #ImWithHer https://twitter.com/TheDemocrats/status/789248453780000768 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","This 3rd generation Mexican-American watched the debates & he knows who he's voting for #ImWithHer #BadHombres #Hillary2016 #MexicanAmericanpic.twitter.com/aNPPG4FGuf"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","""She is earning it."" In debates, Hillary Clinton showed exactly why she should be president http://buff.ly/2eygGKM #Hillary2016 #ImWithHer pic.twitter.com/HQTCdF56fD"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","Trump Angrily Tears a Page Out of His Notepad http://www.esquire.com/news-politics/videos/a49810/trump-rip-paper-notes-debate/ … via @Esquire #imwithher #imwithnasty #wrong"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","If I'm voting from 10,000 miles away, then no one has an excuse to not vote. GET OUT THERE AND DO IT FOR HRC #ImWithHer"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","We objectify people we hate. Trump objectifies women. Therefore, Trump hates women. #TrumpBookReports #debate #ImWithHer"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","What Donald Trump Really Meant When He Said 'Nasty Woman' #ImWithHer #NeverTrumphttp://www.huffingtonpost.com/entry/donald-trump-nasty-woman-meaning_us_5808dd6de4b0dd54ce38982f?section= …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","#NeverTrump #imwithher #HillaryClinton give it up you orange cheeky bastard you've lost. Ur own party disowned you.https://twitter.com/realDonaldTrump/status/789202030493634560 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","Trump calling himself the law and order candidate would be downright comical ... if it wasn't so damn offensive. #ImWithHer #NeverTrumppic.twitter.com/FDqP2RMBXT"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","I agree, Hilary needs every vote she can get #imwithher https://twitter.com/j_squared____/status/789198729957871616 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","Say it louder so those in the back can hear you #ImWithHer https://twitter.com/mtracey/status/789180800067526656 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","#imwithher Best Picture Award goes to @HillaryClinton!pic.twitter.com/QGhHbYxfME"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","10 Shirts Guaranteed To Offend Conservatives #imwithher #nastywomen #badhombre #yourethepuppet https://www.buzzfeed.com/carlcharlbury/10-shirts-guaranteed-to-offend-conservatives-23uuw … via @buzzfeeders"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","More proof of collusion between the media and HRC. SICKENING! https://youtu.be/DeQvCRnRfLg #imwithher #nevertrump #podestaemails14 #MAGA3X"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","A couple of Nasty Women hard at work! #DealMeIn #imwithher… https://www.instagram.com/p/BLzcQgehsvT1DByx2M9EfGrvPd-ThAWWWhojMc0/ …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","RELEASE: The Podesta Emails Part 13 http://ln.is/PJP8F #HillaryClinton #imWithHer #PodestaEmails... by #SpotShopMedia via @c0nvey"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","Just one more reason #ImWithHer on this #SpiritDay - everyone, stand up for our #LGBTQ youth! We are #StrongerTogetherhttps://twitter.com/HillaryClinton/status/789172507316146177 …"
